Chromosome	Position(bp)	Rate(cM/Mb)
chr13	18447081	6.016192241860465
chr13	18447511	6.030145
chr13	18448253	2.355175
chr13	18456515	1.55323
chr13	18457168	1.552978
chr13	18460072	0.42518000000000006
chr13	18471486	0.551526
chr13	18472565	0.559875
chr13	18478954	0.58631
chr13	18484577	0.616615
chr13	18488179	0.643563
chr13	18499186	0.64362
chr13	18500097	0.671701
chr13	18579831	0.711686
chr13	18585853	1.132193
chr13	18589694	1.354367
chr13	18589797	1.547314
chr13	18590104	1.586453
chr13	18605040	1.586449
chr13	18625114	1.586416
chr13	18625172	1.586363
chr13	18625252	1.5818199999999998
chr13	18630703	1.58261
chr13	18636286	1.5831270000000002
chr13	18638122	1.58095
chr13	18639738	1.547512
chr13	18640113	1.546133
chr13	18641297	1.531517
chr13	18641534	1.523623
chr13	18641977	0.830736
chr13	18643591	0.74229
chr13	18645487	0.21586199999999997
chr13	18647069	0.213066
chr13	18648681	0.211883
chr13	18649053	0.211841
chr13	18653802	0.211787
chr13	18656899	0.21911
chr13	18659862	0.6898650000000001
chr13	18660607	0.782923
chr13	18661276	0.82739
chr13	18662806	0.827977
chr13	18666635	0.826922
chr13	18670677	0.826942
chr13	18679259	0.829213
chr13	18680551	0.8496289999999999
chr13	18680722	0.879272
chr13	18680776	0.912457
chr13	18681082	0.912374
chr13	18681715	1.017146
chr13	18682051	1.101874
chr13	18683428	1.639066
chr13	18685799	1.647268
chr13	18686425	1.652942
chr13	18686680	1.665499
chr13	18689595	4.022097
chr13	18690687	3.789452
chr13	18691666	3.778576
chr13	18693149	3.827064
chr13	18696632	3.896566
chr13	18697536	3.663833
chr13	18698232	2.093536
chr13	18699111	1.662376
chr13	18701594	0.150773
chr13	18701860	0.134763
chr13	18702207	0.125502
chr13	18702330	0.114635
chr13	18702720	0.11153800000000001
chr13	18703908	0.111443
chr13	18704670	0.11143
chr13	18706400	0.111428
chr13	18708029	0.111453
chr13	18708860	0.111533
chr13	18712716	0.11156500000000001
chr13	18713639	0.112699
chr13	18718301	0.12211800000000002
chr13	18718618	0.133095
chr13	18719165	0.148857
chr13	18720636	0.174081
chr13	18727026	0.212936
chr13	18727384	0.251984
chr13	18728829	0.284664
chr13	18729011	0.312334
chr13	18729342	0.331293
chr13	18729540	0.35018
chr13	18730494	0.35149699999999995
chr13	18732046	0.360621
chr13	18732384	0.366148
chr13	18733176	0.371045
chr13	18734035	0.382153
chr13	18734174	0.392261
chr13	18735434	0.392353
chr13	18735880	0.397532
chr13	18736066	0.403286
chr13	18737101	0.418367
chr13	18737640	0.467065
chr13	18738177	0.732619
chr13	18738946	0.732737
chr13	18740379	0.674826
chr13	18740439	0.674962
chr13	18741059	0.595989
chr13	18742445	0.498943
chr13	18743245	0.429611
chr13	18745495	0.417742
chr13	18745660	0.403453
chr13	18747744	0.398728
chr13	18754531	0.388754
chr13	18760596	0.388444
chr13	18762575	0.388099
chr13	18766200	0.388046
chr13	18766298	0.389569
chr13	18770930	0.6371679999999998
chr13	18770943	0.8673660000000001
chr13	18772614	1.02481
chr13	18774216	1.039451
chr13	18774665	1.051437
chr13	18775000	1.139444
chr13	18780535	1.171764
chr13	18781633	1.173613
chr13	18782725	1.494917
chr13	18784641	2.653006
chr13	18786620	3.045221
chr13	18798130	3.804558
chr13	18801181	4.236416
chr13	18805043	4.68426
chr13	18807243	4.642979
chr13	18809170	12.534696
chr13	18809294	12.091339
chr13	18810493	12.199413
chr13	18810768	2.825943
chr13	18810831	2.6870510000000003
chr13	18811748	2.6870149999999997
chr13	18817946	1.012358
chr13	18818019	0.4026739999999999
chr13	18820897	0.402674
chr13	18824643	0.4026739999999999
chr13	18827199	0.406894
chr13	18828239	0.406894
chr13	18839157	0.484831
chr13	18839182	0.57723
chr13	18839675	0.577267
chr13	18839912	0.556966
chr13	18840309	0.557234
chr13	18840551	0.43665500000000007
chr13	18842946	0.298312
chr13	18843962	0.24962199999999998
chr13	18846934	0.249138
chr13	18848939	0.24786399999999997
chr13	18852422	0.724327
chr13	18853571	0.724292
chr13	18854044	0.62359
chr13	18858677	0.623561
chr13	18861730	0.62357
chr13	18864280	0.691485
chr13	18864667	0.704398
chr13	18865395	0.715483
chr13	18865983	0.724743
chr13	18866879	0.724336
chr13	18867241	0.723805
chr13	18870034	19.987804
chr13	18873326	5.428217
chr13	18876666	0.471836
chr13	18876765	0.09872300000000002
chr13	18876817	0.010252
chr13	18877303	0.009802
chr13	18877654	0.009746
chr13	18877750	0.009346
chr13	18877794	0.008907
chr13	18878123	0.008907
chr13	18878518	0.008904
chr13	18879318	0.008853
chr13	18880912	0.008853
chr13	18881817	0.008852999999999998
chr13	18882837	0.008853
chr13	18883250	0.015588
chr13	18883928	0.042427
chr13	18883979	0.042427
chr13	18884231	0.075496
chr13	18886476	0.079136
chr13	18888898	0.079211
chr13	18889197	0.079211
chr13	18889902	0.079494
chr13	18890023	0.079314
chr13	18891772	0.079891
chr13	18891854	0.079898
chr13	18893554	0.079886
chr13	18894756	0.082804
chr13	18895365	0.085365
chr13	18896179	0.088264
chr13	18897107	0.091142
chr13	18898166	0.091142
chr13	18899503	0.091142
chr13	18900481	0.13711
chr13	18900491	0.18311999999999998
chr13	18900599	0.24569000000000002
chr13	18906417	0.172551
chr13	18906743	0.129378
chr13	18907137	0.114815
chr13	18907153	0.10230599999999998
chr13	18908085	4.416543
chr13	18908190	0.025234
chr13	18908389	0.024491
chr13	18908584	0.023285
chr13	18908707	0.022296
chr13	18908832	0.021907
chr13	18909109	0.021448
chr13	18909912	0.021037
chr13	18909943	0.020679
chr13	18910577	0.020502
chr13	18910708	0.020163
chr13	18910717	0.019892
chr13	18913488	0.019793
chr13	18916133	0.125196
chr13	18917160	0.252545
chr13	18918618	0.021189
chr13	18919316	0.021128999999999995
chr13	18920846	0.021132
chr13	18921867	0.021305000000000004
chr13	18922294	0.022483
chr13	18922364	0.023668
chr13	18922531	0.026484
chr13	18922788	0.031973
chr13	18923554	0.056179
chr13	18926679	0.056361
chr13	18928955	0.023301
chr13	18935291	0.039558
chr13	18938708	0.307143
chr13	18939374	0.307138
chr13	18939855	0.059888
chr13	18940074	0.045076
chr13	18941296	0.045076
chr13	18941487	0.047557
chr13	18941752	0.047567
chr13	18941767	0.047567
chr13	18941809	0.04756699999999999
chr13	18942494	0.051584
chr13	18942728	0.057203
chr13	18943280	0.268034
chr13	18943472	0.8188700000000001
chr13	18943876	0.159937
chr13	18944234	0.323057
chr13	18945975	0.931486
chr13	18946782	1.011882
chr13	18946930	0.806292
chr13	18947835	0.770257
chr13	18948507	0.731395
chr13	18949594	2.915412
chr13	18949759	3.0194479999999997
chr13	18949809	3.016856
chr13	18950286	1.922159
chr13	18950423	0.291159
chr13	18950491	0.291159
chr13	18952807	0.48532
chr13	18953052	1.551022
chr13	18953066	2.969914
chr13	18953097	4.585197
chr13	18953533	7.857154
chr13	18953751	7.839276999999999
chr13	18955418	7.182958999999999
chr13	18955504	1.975455
chr13	18956373	0.39735400000000004
chr13	18956855	0.377294
chr13	18957344	0.371888
chr13	18958387	0.374823
chr13	18959636	0.391236
chr13	18960125	0.386751
chr13	18960255	0.403273
chr13	18960563	0.420274
chr13	18960655	0.419136
chr13	18961239	0.447749
chr13	18962492	0.795704
chr13	18964312	1.134314
chr13	18964746	0.855647
chr13	18965315	0.692572
chr13	18967548	0.507376
chr13	18967770	0.441401
chr13	18968177	0.426247
chr13	18968409	0.424745
chr13	18968982	0.41991
chr13	18969775	0.412816
chr13	18971851	0.178717
chr13	18973364	0.176355
chr13	18974244	0.199307
chr13	18974686	0.269547
chr13	18974729	0.337807
chr13	18974755	0.445331
chr13	18974813	0.593955
chr13	18975002	0.593955
chr13	18975387	0.586086
chr13	18975829	0.583779
chr13	18976635	0.582814
chr13	18976690	0.582559
chr13	18976784	0.582175
chr13	18977773	0.643644
chr13	18978333	1.5987
chr13	18978905	1.600996
chr13	18978975	0.641184
chr13	18979036	0.644104
chr13	18979155	0.632353
chr13	18979479	1.495086
chr13	18979931	0.055596999999999994
chr13	18980110	0.034515
chr13	18981351	0.034878
chr13	18981418	0.035014
chr13	18981454	0.035014
chr13	18981920	0.12398100000000001
chr13	18981966	0.288189
chr13	18982072	0.507737
chr13	18982870	0.043112
chr13	18983152	0.043236
chr13	18984965	0.043854
chr13	18986062	0.050115
chr13	18986616	0.053711
chr13	18987033	0.095396
chr13	18990549	0.07535
chr13	18990575	0.11197
chr13	18995288	0.103143
chr13	18996231	0.098663
chr13	18996442	0.095641
chr13	18997489	0.37296799999999997
chr13	18997704	0.501766
chr13	18999006	0.492216
chr13	18999537	0.415682
chr13	19000565	0.006434
chr13	19002240	0.006422
chr13	19003061	0.279097
chr13	19005154	0.010246
chr13	19006832	0.034142
chr13	19006908	0.063097
chr13	19007635	0.165011
chr13	19007702	0.267707
chr13	19008756	0.163469
chr13	19009523	0.075821
chr13	19009655	0.055234
chr13	19010245	0.139818
chr13	19010337	0.572939
chr13	19010676	0.572945
chr13	19011727	0.099867
chr13	19011814	0.083783
chr13	19012028	0.44424699999999995
chr13	19012054	1.865302
chr13	19012379	15.029848
chr13	19012429	0.06448
chr13	19012614	0.06435
chr13	19012760	0.067734
chr13	19013278	0.067736
chr13	19013326	0.067736
chr13	19013480	0.067734
chr13	19013600	0.067748
chr13	19013745	0.067762
chr13	19014519	0.07979399999999999
chr13	19015425	0.079799
chr13	19016196	0.263189
chr13	19016278	1.709584
chr13	19016641	2.698944
chr13	19016844	2.754518
chr13	19017157	2.432137
chr13	19017246	2.020142
chr13	19017804	1.9867460000000001
chr13	19017841	1.9573
chr13	19018194	1.931745
chr13	19018247	1.878259
chr13	19018386	1.7247989999999997
chr13	19018691	0.105895
chr13	19019256	0.676584
chr13	19019884	0.023248
chr13	19020520	0.022777
chr13	19020854	0.023496
chr13	19021021	0.521799
chr13	19021251	1.349175
chr13	19021274	2.176689
chr13	19021537	0.026877
chr13	19022075	0.025429
chr13	19022105	0.024686
chr13	19022192	0.031159999999999997
chr13	19022246	2.84696
chr13	19022415	0.016991
chr13	19022627	2.6506
chr13	19022836	2.305292
chr13	19022852	0.018135
chr13	19023139	0.016234
chr13	19023169	0.015672
chr13	19023337	0.015513
chr13	19023661	0.015513000000000002
chr13	19023733	0.015513
chr13	19023839	0.015513
chr13	19023890	0.015481
chr13	19023990	0.015468
chr13	19024904	0.023290000000000005
chr13	19025081	0.097735
chr13	19025256	0.365499
chr13	19028399	0.488277
chr13	19029137	0.48778
chr13	19029914	0.541984
chr13	19030345	1.081689
chr13	19031425	0.720052
chr13	19031657	0.623551
chr13	19031997	0.530926
chr13	19032842	0.063291
chr13	19033928	0.063247
chr13	19034124	0.091716
chr13	19034529	0.09171500000000002
chr13	19034631	0.38859999999999995
chr13	19036244	0.076424
chr13	19036868	0.130189
chr13	19037063	0.201807
chr13	19037514	0.2352
