Chromosome	Position(bp)	Rate(cM/Mb)
chrX	2785350	5.227783
chrX	2785592	5.27778
chrX	2787421	5.121935
chrX	2788903	5.114891
chrX	2792799	2.778556
chrX	2793388	2.354973
chrX	2796715	2.346818
chrX	2797283	2.345089
chrX	2798305	2.721136
chrX	2801070	2.7248169999999994
chrX	2802661	2.842632
chrX	2806407	2.9052169999999995
chrX	2807258	2.935344
chrX	2807750	3.005689
chrX	2808207	3.072849
chrX	2808355	3.430927
chrX	2808606	4.496653
chrX	2811305	4.560633
chrX	2814055	4.528308
chrX	2817498	4.221278
chrX	2817700	3.656236
chrX	2826724	4.171829
chrX	2828514	4.158381
chrX	2832266	3.993187
chrX	2833659	3.579986
chrX	2834029	3.278242
chrX	2834666	2.69408
chrX	2837048	2.635005
chrX	2842019	3.565412
chrX	2849344	3.928361
chrX	2857957	5.023073
chrX	2859314	5.561234
chrX	2859519	5.585187999999999
chrX	2860304	5.663952
chrX	2861529	5.673778
chrX	2865735	6.157227
chrX	2882254	6.156674
chrX	2884356	6.162424999999999
chrX	2884527	6.164265
chrX	2884552	6.168131
chrX	2885028	6.171981
chrX	2885235	6.181901
chrX	2888548	6.183691
chrX	2903409	5.085815
chrX	2904212	5.151055
chrX	2907322	5.157386
chrX	2907362	5.161092
chrX	2907555	5.161514
chrX	2914701	5.419664
chrX	2915465	5.772002
chrX	2915620	5.764152
chrX	2916682	5.989204
chrX	2925777	5.984395
chrX	2927021	6.063258
chrX	2928976	6.076505
chrX	2929092	6.079024000000001
chrX	2930467	6.007867
chrX	2931940	5.737899
chrX	2932488	5.220356
chrX	2932760	5.037294
chrX	2932860	4.905602
chrX	2939416	4.905232
chrX	2939772	4.891641
chrX	2949372	4.890467
chrX	2949609	4.890467
chrX	2952970	4.761769
chrX	2958461	4.727652
chrX	2962721	4.712571
chrX	2963430	4.711286
chrX	2976786	4.709304
chrX	2980145	4.709177
chrX	2983739	4.709177
chrX	2994687	4.707459
chrX	2996954	4.707459
