Chromosome	Position(bp)	Rate(cM/Mb)
chr19	253938	0.154179
chr19	256859	0.154528
chr19	259772	0.15453
chr19	260970	0.154697
chr19	261033	0.154888
chr19	266034	0.3479630000000001
chr19	266544	1.256622
chr19	266888	1.33384
chr19	267039	1.542843
chr19	267213	2.171166
chr19	267614	1.108918
chr19	269380	0.711702
chr19	276245	1.791471
chr19	277717	2.004476
chr19	277776	3.133699
chr19	279645	4.135431
chr19	280299	4.235347
chr19	281360	6.164471
chr19	287129	6.113884
chr19	288246	6.135026
chr19	288320	6.136509
chr19	292082	8.817796
chr19	292583	9.059132
chr19	292901	9.062522
chr19	292940	9.072171
chr19	293346	9.668248
chr19	293671	9.66774
chr19	293828	9.68968
chr19	293913	9.702478
chr19	293934	9.722288
chr19	294212	10.116202
chr19	294457	11.344276
chr19	294526	11.266034
chr19	295131	11.266034
chr19	295295	9.941979
chr19	296458	6.792987999999999
chr19	301619	3.625604
chr19	301639	1.6263859999999999
chr19	301668	0.394452
chr19	304499	0.394835
chr19	304526	0.394972
chr19	311037	0.435683
chr19	311825	0.470315
chr19	316040	0.440963
chr19	319822	0.286325
chr19	327182	0.272242
chr19	327323	0.262711
chr19	327683	0.256532
chr19	327821	0.257003
chr19	327998	0.253078
chr19	328855	0.251834
chr19	330263	0.253443
chr19	331028	0.255561
chr19	334474	0.291745
chr19	334673	0.293046
chr19	335055	0.438013
chr19	335946	0.357945
chr19	340700	0.615748
chr19	344053	0.615948
chr19	348743	0.614085
chr19	349160	0.613739
chr19	352341	0.61233
chr19	354248	0.781071
chr19	358990	2.4910490000000003
chr19	362283	2.769234
chr19	363127	5.350521
chr19	364695	10.096924
chr19	366451	10.22804
chr19	366680	10.399406
chr19	367089	11.561807000000002
chr19	367178	11.561807
chr19	367313	17.195028
chr19	372661	17.2029
chr19	372775	17.2029
chr19	373897	17.206286
chr19	376382	7.388682
chr19	376585	4.721485
chr19	379003	4.76475
chr19	383057	8.573564
chr19	384644	8.57789
chr19	384724	8.579274
chr19	384812	8.58159
chr19	387791	8.582095
chr19	388413	8.581649
chr19	389397	8.580927
chr19	389805	8.564287
chr19	389873	8.55329
chr19	390206	8.553899
chr19	390341	8.135199
chr19	390627	4.92692
chr19	391296	3.440202
chr19	391569	3.045261
chr19	391794	2.235299
chr19	393044	2.178615
chr19	396948	3.423037
chr19	397111	3.491948
chr19	397531	10.092467
chr19	397896	12.838056
chr19	401714	14.115863
chr19	402491	14.691555
chr19	405929	14.656031
chr19	406370	9.024615
chr19	409977	7.541335
chr19	411849	3.348713
chr19	412730	3.236714
chr19	415294	3.225904
chr19	416231	3.245613
chr19	416449	2.819039
chr19	416834	3.833343
chr19	416963	4.09677
chr19	417014	4.101984
chr19	417262	4.468779
chr19	417396	6.619096999999999
chr19	417556	8.45321
chr19	417714	9.112016
chr19	417737	9.827520999999999
chr19	418178	9.88881
chr19	418436	9.886459
chr19	418507	9.881004
chr19	418556	9.876199
chr19	418624	9.876199
chr19	418769	9.8675
chr19	418786	9.857626
chr19	419075	9.849276
chr19	419204	9.849276
chr19	419407	9.824821
chr19	419471	9.800253
chr19	419498	9.768539
chr19	419531	9.762374
chr19	420755	8.004613
chr19	422238	1.962728
chr19	425559	1.196617
chr19	428608	0.983514
chr19	431029	1.425222
chr19	431187	1.8484510000000003
chr19	436690	1.9449
chr19	438357	2.110277
chr19	438584	2.194038
chr19	438916	2.200716
chr19	439393	2.200923
chr19	440478	2.190107
chr19	441195	2.171768
chr19	441243	2.156108
chr19	446887	2.153382
chr19	448041	2.15117
chr19	450282	2.149898
chr19	450515	2.148343
chr19	453750	2.14344
chr19	454430	2.145992
chr19	454955	2.136696
chr19	455285	2.112802
chr19	464612	2.106907
chr19	472149	2.588658
chr19	478964	2.784661
chr19	482160	2.816486
chr19	482221	2.82949
chr19	482984	8.541636
